"",24
"Suzen",1
"Suzie",2
"Sylia",1
"Sylvii",4
"Sylvinka",9
"T. C.",1
"Tadius",1
"Tally",1
"Teres",1
"Terezii",15
"Tereziu",1
"Terizie",1
"Tersa",1
"Terzie",2
"Tessie",2
"Thaia",1
"Thamas",1
"Thelka",1
"Thereza",1
"Thersa",4
"Thimas",1
"Tienie",1
"Tillie",65
"Tinnie",1
"Tobert",1
"Tolek",1
"Tomase",24
"Tomicek",1
"Tonicek",4
"Tonicky",1
"Tonouska",1
"Torn",1
"Udolf",1
"Unknown",1
"V. C.",1
"V. J.",2
"Vaaclav",2
"Vacal",1
"Vacalav",3
"Vacalava",2
"Vacalv",1
"Vacalva",3
"Vacla",7
"Vaclaek",1
"Vaclavu",2
"Vacllav",1
"Valasta",1
"Valav",1
"Valburk",1
"Valdimir",2
"Valenta",1
"Valeryn",1
"Valsta",1
"Vandel",1
"Varabra",1
"Vavreinec",1
"Veine",1
"Vendell",2
"Vendelyn",1
"Venousek",5
"Venouska",1
"Venzel",1
"Verna",1
"Vernon",2
"Veroniku",8
"Veroniky",2
"Vertha",1
"Vicenta",1
"Vileminy",1
"Vilhema",1
"Vilheminka",1
"Vilhminka",1
"Vilicek",11
"Vilicka",1
"Vilik",2
"Villicek",1
"Vilousek",2
"Vilouska",2
"Vilsousek",1
"Viltorie",1
"Vinc",1
"Vince",1
"Vincen",2
"Vincence",2
"Vincencii",1
"Vincenec",1
"Vincenna",1
"Vincennes",1
"Vincentia",1
"Vincentk",1
"Vinci",1
"Vincie",2
"Vinnie",1
"Violu",1
"Vlastenka",1
"Vlasticku",1
"Vlastu",1
"Vlasty",1
"Vlastynka",1
"Vncenc",1
"Vojech",1
"Vojteck",3
"Vojtisek",1
"Vojtiska",2
"Vosmik",1
"Vrances",1
"Vrank",1
"W. J.",1
"W. N.",1
"W.",1
"Waclav",1
"Waldo",1
"Walsek",1
"Washington",1
"Wassil",1
"Weanda",1
"Wencil",1
"Wendel",4
"Wendell",5
"Wesely",1
"Wiinie",1
"Wilber",1
"Wilbrod",1
"Wilbur",2
"Wilhema",1
"Willaim",2
"Willam",11
"Willert",1
"Williama",4
"Willian",2
"Willie",4
"Willik",1
"Winfield",2
"Wneley",1
"Yarmilla",1
"Zanynka",1
"Zdeneka",1
"Zdenky",3
"Zelmyra",1
"Zindricha",1
"Zizanna",1
"Zofii",3
"Zofiu",1
"Zophia",2
"Zuanna",1
"Zudita",1
"Zuzanne",1
"Zuzannu",1
"Zuzi",1
"Zuznna",1
"Zuzzanda",1
"Zzuzanna",1

1168 names total
