Rank	Surname	n_i
8270	BALARIN	100
37112	BALARYN	11
30125	BALAS	16
39069	BAL¡SEK	10
55289	BAL¡SZ	5
4911	BALAä	169
1614	BAL¡ä	467
55290	BALAä»¡K	5
30126	BALAäKO	16
9938	BALAäTÕK	81
9252	BAL¡T	88
21400	BALATA	28
4422	BALATKA	189
11469	BALAT›	68
41329	BALAVAJDER	9
8577	BAL¡ZS	96
15654	BALAé	45
265	BAL¡é	2095
37113	BAL¡éI	11
30127	BALAéÕK	16
23016	BAL¡éIK	25
8982	BALAéOVI»	91
519	BALCAR	1227
30128	BALCAREK	16
1788	BALC¡REK	429
16957	BALCAÿÕK	40
26331	BALCER	20
35440	BALCIAR	12
47066	BALCIR¡K	7
39070	BALCO	10
32526	BAL»ÕK	14
37114	BAL»IR¡K	11
5197	BALDA	160
55291	BALD…	5
47067	BALDERMAN	7
43992	BALDERMANN	8
13725	BALDÕK	54
41330	BALDÕNSK›	9
43993	BALDOVSK›	8
41331	BALDREICH	9
24206	BALDRIAN	23
31271	BALDRI¡N	15
24893	BALDRMAN	22
15895	BALDRYCH	44
55292	BALDY“¡K	5
3383	BALEJ	244
11739	BALEJA	66
41332	BALEJÕK	9
55293	BALEJKA	5
2388	BALEK	333
1921	B¡LEK	400
24207	BALEKA	23
43994	BALENT	8
43995	BALEä	8
32527	B¡LEä	14
10590	BALETKA	75
4643	BALGA	178
26332	BALGAR	20
4169	BALHAR	200
15206	BALH¡REK	47
43996	BALI	8
50764	BALIAK	6
35441	BALIAR	12
24208	BALICA	23
18854	BALICKI	34
16958	BALICK›	40
28050	BALICZ	18
7105	BALÕ»EK	118
55294	BALIEV	5
55295	BALIGA	5
7153	BALIHAR	117
1094	BALÕK	647
55296	B¡LIK	5
5823	BALÕN	144
18214	BALÕNEK	36
12021	BALINT	64
10376	B¡LINT	77
20483	BALIä	30
17533	B¡LKA	38
8271	BALKO	100
55297	BALK”	5
41333	BALKOVSK›	9
7556	BALLA	110
39071	BALLADA	10
23592	BALL¡K	24
20935	BALLARIN	29
47068	BALLASCH	7
47069	BALLATY	7
47070	BALLAY	7
18855	BALLEK	34
32528	BALLER	14
37115	BALLÕK	11
39072	BALLING	10
37116	BALLIä	11
43997	BALLNER	8
55298	BALLN…R	5
47071	BALLO	7
41334	BALL”K	9
23593	BALLON	24
55299	BALLON-MIERNY	5
