Rank	Surname	n_i
14420	KRPENSK›	51
9491	KRPEä	86
34540	KRPOUN	13
6108	KRS	138
2535	KRSEK	317
8844	KRSI»KA	93
23866	KRSTEV	24
57631	KRSTOVSK›	5
22131	KRä	27
13408	KRäA	56
10641	KRä¡K	75
4225	KRäEK	198
16796	KRäIAK	41
10412	KRäÕK	77
1254	KRäKA	580
19024	KRäKO	34
57632	KRäMARU	5
3956	KRä“¡K	210
28478	KRT	18
5215	KRTEK	160
2977	KRTI»KA	274
7272	KRTIL	115
23262	KRTOUä	25
13074	KRUBA	58
48638	KRUBER	7
34541	KRUBERT	13
26698	KRUBL	20
11533	KRUBNER	68
52655	KRUBR	6
14421	KRUCINA	51
5109	KRUCK›	163
31803	KRUCZEK	15
57633	KRU»AY	5
37935	KRU»EK	11
9017	KRŸ»EK	91
57634	KRU»OVSK›	5
16008	KRUDENC	44
52656	KRŸDL	6
40066	KRŸFA	10
30575	KRUG	16
23867	KR‹GER	24
45258	KRUCH	8
40067	KRUCHINA	10
48639	KRUCHL	7
20243	KRUCH“A	31
52657	KRUIS	6
17079	KRUK	40
6149	KRUL	137
37936	KRUº	11
11141	KRŸL	71
7455	KRULA	112
36158	KRŸLA	12
33120	KRULEC	14
31804	KRULICK›	15
52658	KRULÕ»EK	6
4623	KRULICH	179
11794	KRULÕK	66
25923	KRULIKOVSK›	21
2184	KRULIä	361
45259	KRULL	8
52659	KRULLA	6
57635	KRUMAN	5
19435	KRUMBHOLC	33
57636	KRUMBHOLZ	5
52660	KRUMEL	6
27548	KRUMER	19
36159	KRUMHANZL	12
52661	KRUMICH	6
2193	KRUML	360
48640	KRUMLÕK	7
14209	KRUMLOVSK›	52
52662	KRUMM	6
16525	KRUMMER	42
11937	KRUMNIKL	65
48641	KRUMOV	7
12556	KRUMP	61
52663	KRUMP¡L	6
37937	KRUMP¡R	11
42433	KRUMPHANSL	9
9102	KRUMPHANZL	90
8607	KRUMPHOLC	96
12090	KRUMPHOLZ	64
10096	KRUMPL	80
40068	KRUMPLOVI»	10
15086	KRUMPOCH	48
7788	KRUMPOLC	107
12216	KRUMPOLEC	63
48642	KRUMPOS	7
57637	KRUMR	5
19848	KRUNCL	32
13993	KRUN»ÕK	53
31805	KRUNERT	15
30576	KRUNKA	16
23868	KRUNT	24
7510	KRUNTOR¡D	111
875	KRUPA	782
9200	KR⁄PA	89
9780	KRŸPA	83
18337	KRUPANSK›	36
36160	KRUP¡R	12
7273	KRUPAÿ	115
40069	KRUP¡ä	10
14210	KRUPAUER	52
25924	KRUP»ÕK	21
48643	KRUPEC	7
57638	KRUPECZ	5
57639	KRUPIAK	5
2795	KRUPICA	289
451	KRUPI»KA	1393
57640	KRUPIK	5
11534	KRUPÕK	68
18338	KRUPIL	36
48644	KRUPINEC	7
48645	KRUPINSK›	7
57641	KRUPJAK	5
760	KRUPKA	881
52664	KRUPNA	6
19849	KRUPNÕK	32
36161	KRUPPA	12
29539	KRUS	17
19436	KRŸS	33
10997	KRUSBERSK›	72
30577	KRUSCHINA	16
48646	KRUSMAN	7
34542	KRUä	13
52665	KRUäANDL	6
29540	KRUäBERSK›	17
42434	KRUäEK	9
22672	KRŸäEK	26
2525	KRUäINA	318
21599	KRUäINSK›	28
20244	KRUäKA	31
42435	KRUäOFT	9
42436	KRUTA	9
11938	KRUçA	65
2412	KRŸTA	330
11939	KRUT¡K	65
45260	KRUTEK	8
52666	KR⁄TEK	6
57642	KRUTIAK	5
4374	KRUTIL	192
19437	KRŸTIL	33
14211	KRUTILEK	52
5515	KRUTÕLEK	152
6487	KRUTINA	130
5051	KRUTIä	165
45261	KRUTKI	8
40070	KRUçKO	10
52667	KRUTKY	6
40071	KRUTK›	10
42437	KRUTOVSK›	9
4089	KRUTSK›	204
42438	KRŸTSK›	9
36162	KRUTTA	12
27549	KRUT›	19
7722	KRŸZA	108
21600	KRUéBERSK›	28
42439	KRUéEJ	9
48647	KRUéEL	7
45262	KRUéELA	8
12091	KRŸéELA	64
52668	KRUéIC	6
22673	KRUéICA	26
1497	KRUéÕK	495
17080	KRUéLIAK	40
40072	KRUéLÕK	10
37938	KRUéOLEK	11
40073	KRVA»	10
8439	KRYBUS	98
52669	KRYCNAR	6
15532	KRYCNER	46
29541	KRY»	17
34543	KRY»ER	13
48648	KRYDA	7
8682	KR›DA	95
37939	KRYDL	11
25925	KR›DL	21
57643	KRYGAR	5
12217	KRYGEL	63
28479	KRYGIEL	18
48649	KRYGL	7
48650	KRYHUT	7
34544	KRYCH	13
16526	KR›CHA	42
19025	KRYCHT¡LEK	34
22132	KRYKA	27
11289	KRYKORKA	70
1517	KRYL	489
23869	KR›L	24
27550	KRYLL	19
12375	KRYM	62
57644	KRYMIEC	5
24525	KRYML	23
17081	KRYML¡K	40
28480	KRYNDLER	18
40074	KRYNEK	10
25190	KRYNER	22
57645	KR›NER	5
42440	KRYNES	9
36163	KRYNICK›	12
31806	KRYNSK›	15
21126	KRYS	29
42441	KRYSA	9
13806	KR›SA	54
37940	KRYSKA	11
57646	KRYSKIV	5
12092	KRYSL	64
3094	KR›SL	265
19850	KRYSLI»KA	32
33121	KR›SMAN	14
40075	KRYSM¡NEK	10
31807	KRYSPÕN	15
21127	KRYST	29
19026	KRYSTA	34
52670	KRYSTAN	6
8683	KRYSTEK	95
52671	KRYSTEN	6
42442	KRYSTI¡N	9
52672	KRYSTIN	6
13075	KRYSTL	58
25926	KRYSTLÕK	21
40076	KRYSTO“	10
57647	KRYSTUF	5
45263	KRYSTYJAN	8
17995	KRYSTYN	37
13994	KRYST›N	53
11795	KRYST›NEK	66
13995	KRYSTYNÕK	53
57648	KRYä	5
11796	KRYäKA	66
25191	KRYäKE	22
10200	KRYäPÕN	79
1476	KRYäTOF	502
19438	KRYäTOFEK	33
57649	KRYäTOFOVI»	5
48651	KRYäTOV	7
34545	KRYäTOVSK›	13
8300	KRYäTŸFEK	100
6538	KRYTIN¡ÿ	129
57650	KRYVOä	5
42443	KRYWDA	9
48652	KRYWDIUK	7
42444	KRYWULT	9
45264	KRYZA	8
20245	KR›ZA	31
19439	KRYZAN	33
29542	KRYZ¡NEK	17
29543	KR›ZL	17
57651	KRYéE	5
40077	KR›éE	10
31808	KRZAK	15
12711	KRZ¡K	60
52673	KRZAN	6
48653	KRZEMIE“	7
33122	KRZEMI—SKI	14
42445	KRZEMPEK	9
42446	KRZESTAN	9
57652	KRZEWKI	5
34546	KRZIKALLA	13
45265	KRZISCH	8
25192	KRZOK	22
9781	KRZYSTEK	83
48654	KRZYWDA	7
42447	KRZYWO—	9
24526	KRZYWO“	23
9492	KRZYéANEK	86
25193	KRZYé¡NEK	22
52674	KRZYéOWSKI	6
23870	KRé	24
52675	KÿAK	6
25194	Kÿ¡K	22
20246	KÿAP	31
14422	Kÿ¡P	51
6200	KÿAPA	136
22674	KÿAP¡»EK	26
6043	Kÿ¡PEK	140
8440	KÿAPKA	98
15087	KÿE»AN	48
944	KÿE»EK	740
36164	KÿEFK›	12
12712	KÿEH¡»EK	60
14212	KÿEHK›	52
21128	KÿEHLA	29
4550	KÿEHLÕK	183
17996	KÿEHN¡»	37
28481	KÿEHOTA	18
36165	KÿEHULA	12
33123	KÿECH	14
52676	KÿEJDL	6
52677	KÿEJPSK›	6
17356	KÿEK	39
5624	KÿELINA	149
40078	KÿELOVEC	10
7070	KÿEME»EK	119
34547	KÿEMEL	13
2223	KÿEMEN	354
4764	KÿEMEN¡K	174
48655	KÿEMENEK	7
18339	KÿEM…NEK	36
28482	KÿEMENSK›	18
42448	KÿEMÕNSK›	9
20247	KÿEMPEK	31
1538	KÿEN	484
28483	KÿENA	18
22675	KÿEN»IL	26
45266	KÿENECK›	8
344	KÿENEK	1736
10201	KÿENOVSK›	79
37941	KÿEP»ÕK	11
8845	KÿEPEL	93
2818	KÿEPELA	287
1307	KÿEPELKA	561
7932	KÿEPINSK›	105
36166	KÿEPÕNSK›	12
40079	KÿEPKA	10
21601	KÿEPSK›	28
22133	KÿESADLO	27
17357	KÿES¡K	39
16009	KÿESALA	44
26699	KÿES¡LEK	20
57653	KÿES¡NEK	5
7071	KÿESINA	119
52678	KÿESKA	6
40080	KÿESTAN	10
2500	KÿESçAN	322
28484	KÿEä	18
17997	KÿEäNI»KA	37
25195	KÿEäç¡K	22
10769	KÿETINSK›	74
12557	KÿETÕNSK›	61
57654	KÿEV¡LEK	5
27551	KÿEVK›	19
40081	KÿIBALA	10
16797	KÿÕBALA	41
52679	KÿIBEK	6
16243	KÿÕBEK	43
14646	KÿIBÕK	50
23263	KÿIBSK›	25
18340	KÿI»EK	36
8372	KÿÕ»EK	99
9782	KÿI»ENSK›	83
8373	KÿI»KA	99
16244	KÿÕ»KA	43
29544	KÿÕDA	17
12900	KÿÕDLO	59
8918	KÿÕHA	92
20248	KÿIKALA	31
1973	KÿIKAVA	393
36167	KÿIKLAN	12
11290	KÿIKL¡N	70
9675	KÿIKLAVA	84
17998	KÿIMSK›	37
34548	KÿINECK›	13
30578	KÿINKA	16
37942	KÿIPA»	11
10202	KÿÕPAL	79
36168	KÿIPSK›	12
57655	KÿÕSA	5
15533	KÿISTEK	46
1743	KÿÕSTEK	438
27552	KÿÕSTEL	19
33124	KÿIäÕK	14
12713	KÿIäTA	60
57656	KÿIäçA	5
48656	KÿÕäTA	7
31809	KÿIäç¡K	15
6871	KÿIäç¡L	123
4155	KÿIäçAN	201
9676	KÿIäTOF	84
25927	KÿÕTEK	21
6539	KÿIVA	129
21129	KÿÕVA	29
4708	KÿIV¡»EK	176
2674	KÿIV¡K	300
1967	KÿIVAN	394
4031	KÿIVANEC	207
264	KÿIV¡NEK	2108
8086	KÿIVDA	103
15088	KÿIVINKA	48
1704	KÿIVKA	444
4624	KÿIVOHL¡VEK	179
3743	KÿIVOHLAV›	221
25928	KÿIVO“	21
12714	KÿIVONOSKA	60
14647	KÿIVONOéKA	50
2722	KÿIVSK›	296
37943	KÿIVŸNEK	11
8919	KÿIV›	92
30	KÿÕé	7230
4736	KÿIé¡K	175
48657	KÿÕé¡K	7
42449	KÿÕéALA	9
3810	KÿIéAN	217
8374	KÿÕéAN	99
11142	KÿIé¡NEK	71
40082	KÿIéANI»	10
25196	KÿIéANOVSK›	22
52680	KÿÕéANOVSK›	6
48658	KÿÕéECK›	7
302	KÿÕéEK	1911
11291	KÿÕéENECK›	70
26700	KÿIéÕK	20
3274	KÿIéKA	252
5553	KÿÕéKA	151
21602	KÿÕéKOVSK›	28
23264	KÿIéOVI»	25
34549	KÿIéOVSK›	13
16527	KÿÕéOVSK›	42
45267	KÿOK	8
48659	KÿON	7
42450	KÿOUPAL	9
27553	KÿOUSTEK	19
13603	KÿOV¡»EK	55
13076	KÿOV¡K	58
8759	KÿOVINA	94
8159	KÿTÃN	102
45268	KÿTÃNSK›	8
19027	KÿŸMAL	34
48660	KÿUPAL	7
5668	KÿUPALA	148
28485	KÿŸPALA	18
4349	KÿUPKA	193
6288	KSANDR	134
17082	KSELÕK	40
28486	KSE“¡K	18
23265	KSENI»	25
57657	KSIAZEK	5
24527	KSIAéEK	23
29545	Kä¡DA	17
52681	KäAJT	6
17083	Kä¡NA	40
9301	KäANDA	88
52682	Kä¡RA	6
12558	KäICA	61
25197	KäÕKAL	22
5705	KäÕR	147
42451	KäÕRL	9
27554	KäONéEK	19
45269	KTODA	8
13221	KUB	57
382	KUBA	1585
52683	KUBACKI	6
29546	KUBACK›	17
17358	KUBACZKA	39
48661	KUBA»	7
2909	KUB¡»	280
5554	KUBA»¡K	151
2723	KUB¡»EK	296
8608	KUBA»KA	96
36169	KUBAJKO	12
31810	KUBAJURA	15
7723	KUB¡K	108
4765	KUBAL	174
1051	KUBALA	674
57658	KUBALAK	5
6639	KUBAL¡K	127
30579	KUBAL»ÕK	16
23266	KUBALE	25
14648	KUB¡LE	50
22676	KUBALEC	26
1375	KUB¡LEK	534
34550	KUBALIK	13
3077	KUBALÕK	266
48662	KUBALJAK	7
13807	KUBAN	54
13409	KUBA“	56
52684	KUB¡N	6
1878	KUB¡“	408
52685	KUBAN»ÕK	6
26701	KUBANEK	20
938	KUB¡NEK	744
40083	KUB¡NÃK	10
16798	KUBANÕK	41
15300	KUB¡NÕK	47
52686	KUBANKA	6
10881	KUBANT	73
45270	KUB¡NYI	8
37944	KUBARI»	11
8441	KUBART	98
19851	KUBAÿ	32
15301	KUBAS	47
27555	KUBASA	19
52687	KUBASEK	6
2367	KUB¡SEK	337
57659	KUBASCH	5
30580	KUBASTA	16
22677	KUBAä	26
45271	KUB¡ä	8
57660	KUBAä¡K	5
34551	KUBAä»ÕK	13
20680	KUB¡äEK	30
23267	KUBAäKA	25
52688	KUBAäOVSK›	6
9201	KUBAäTA	89
192	KUB¡T	2719
5669	KUBATA	148
57661	KUB¡TEK	5
26702	KUBATÕK	20
27556	KUBATKA	19
42452	KUB¡TKA	9
19852	KUBATKO	32
15089	KUB¡TKO	48
25198	KUBAT›	22
33125	KUBE	14
860	KUBEC	797
57662	KUBECKI	5
17675	KUBECZKA	38
1992	KUBE»EK	388
2507	KUBE»KA	321
57663	KUBEJ	5
22134	KUBÃJ	27
19853	KUBÃJA	32
57664	KUBEJKA	5
40084	KUBEJKO	10
14423	KUBEK	51
48663	K‹BEL	7
57665	K€BEL	5
6488	KUBELA	130
37945	KUBEL¡K	11
52689	K‹BELBECK	6
52690	K‹BELBEK	6
28487	KUBELE	18
21130	KUBELÕK	29
839	KUBELKA	817
25929	KUBEN	21
52691	KUBE“	6
15746	KUBENA	45
1424	KUBÃNA	518
45272	KUBENIK	8
45273	KUBENÕK	8
9493	KUBENKA	86
6807	KUBÃNKA	124
21603	KUBÃNSK›	28
5844	KUBERA	144
52692	KUBERKA	6
34552	KUBERNA	13
13222	KUBERN¡T	57
31811	KUBERT	15
21131	KUBES	29
5334	KUBESA	157
33126	KUBESCH	14
313	KUBEä	1863
4445	KUBEäA	188
20681	KUBEäKA	30
57666	KUBETTA	5
52693	KUBIAK	6
10097	KUBIAS	80
52694	KUBIATKO	6
25930	KUBIC	21
918	KUBICA	755
17999	KUBICE	37
45274	KUBICIUS	8
28488	KUBICK›	18
48664	KUBICZ	7
5365	KUBICZEK	156
42453	KUBI»	9
42454	KUBI»E	9
18341	KUBÕ»E	36
18664	KUBI»EK	35
95	KUBÕ»EK	4134
9018	KUBI»ÕK	91
22678	KUBI»INA	26
2984	KUBI»KA	273
36170	KUBI»KO	12
31812	KUBI»N›	15
48665	KUBIE	7
45275	KUBIELAS	8
57667	KUBIE“	5
5897	KUBIENA	143
57668	KUBIENKA	5
48666	KUBIES	7
29547	KUBIESA	17
7724	KUBIK	108
140	KUBÕK	3324
36171	KUBILKA	12
33127	KUBIN	14
321	KUBÕN	1832
2179	KUBINA	362
36172	KUBIN¡K	12
48667	KUBIN»¡K	7
37946	KUBIN»AN	11
42455	KUBIN»IAK	9
3067	KUBINEC	267
4709	KUBÕNEK	176
40085	KUBINGER	10
52695	KUBÕNI	6
36173	KUBINSKI	12
40086	KUBINSK›	10
45276	KUBÕNYI	8
42456	KUBIRIDé¡K	9
6872	KUBIS	123
30581	KUBISA	16
19028	KUBÕSEK	34
57669	KUBISCH	5
10525	KUBISKA	76
11797	KUBÕSKA	66
24528	KUBISTA	23
12901	KUBISZ	59
799	KUBIä	848
975	KUBIäTA	724
29548	KUBIäTÕK	17
9494	KUBITA	86
52696	KUBITZA	6
33128	KUBIZNA	14
4833	KUBIZ“¡K	172
37947	KUBJ¡K	11
6589	KUBJ¡T	128
40087	KUBJATKO	10
10526	KUBKA	76
34553	K‹BL	13
42457	K€BL	9
7015	KUBLA	120
23871	KUBL¡K	24
42458	K‹BLBECK	9
52697	KUBLENT	6
52698	KUBLIN	6
48668	KUBLÕN	7
4530	KUBN›	184
14883	KUBO	49
10998	KUBO“	72
57670	KUBOSCH	5
31813	KUBOSZEK	15
5845	KUBOä	144
13410	KUBOäEK	56
48669	KUBOäNÕK	7
8233	KUBOUäEK	101
23268	KUBOV	25
42459	KUBOV»IAK	9
18665	KUBOV»ÕK	35
45277	KUBOVE	8
8001	KUBOVEC	104
45278	KUBOVIC	8
22135	KUBOVI»	27
13223	KUBOVSK›	57
4156	KUBOV›	201
3411	KUBR	242
17676	KUBRICK›	38
36174	KUBRI»AN	12
9783	KUBRICHT	83
9399	KUBRT	87
8920	KUBRYCHT	92
48670	KUBSCH	7
57671	KUBSK›	5
15747	KUBä	45
1297	KUBŸ	564
40088	KUBULUS	10
52699	KUBUS	6
27557	KUBUä	19
52700	KUB›	6
20249	KUBZA	31
24529	KUC	23
40089	KUCA	10
40090	KUCAROV	10
36175	KUCBEL	12
13224	KUCEJ	57
18000	KUCEK	37
57672	KUCEND÷RFER	5
28489	KUCER	18
33129	KUCIAK	14
12559	KUCI¡N	61
48671	KUCIEL	7
40091	KUCIK	10
52701	KUCÕK	6
28490	KUCIN	18
29549	KUCÕN	17
52702	KUCKA	6
22679	KUCKO	26
22680	KUCLER	26
57673	KUCMERA	5
34554	KUCMOCHT	13
34555	KUCR	13
48672	KUCSARA	7
29550	KUCSERA	17
26703	KUCZA	20
57674	KUCZAWSKI	5
15090	KUCZERA	48
34556	KUCZMAN	13
57675	KUCZYNSKI	5
36176	KUCZY—SKI	12
967	KU»A	727
5366	KU»ABA	156
37948	KU»AJ	11
57676	KU»AK	5
10770	KU»¡K	74
45279	KU»ALA	8
16010	KU»AT›	44
23872	KU»AVA	24
40092	KU»AVÕK	10
25199	KU»EJA	22
42460	KU»EK	9
7	KU»ERA	15255
7072	KU»ER¡K	119
33130	KU»ERAV›	14
48673	KU»ERIK	7
31814	KU»ERÕK	15
4302	KU»ERKA	195
16528	KU»ER“¡K	42
20682	KU»EROVSK›	30
52703	KU»ERSK›	6
9982	KU»EÿÕK	81
42461	KU»EVA	9
57677	KU»Õ	5
6698	KU»ÕK	126
20683	KU»INA	30
45280	KU»INKA	8
52704	KU»INSKI	6
25931	KU»INSK›	21
34557	KU»ÕNSK›	13
2000	KU»ÕREK	387
27558	KU»ÕRKA	19
9983	KU»KA	81
29551	KU»MA	17
37949	KU»MAä	11
40093	KU»M¡ä	10
45281	KU»MER»ÕK	8
52705	KU»MÕN	6
52706	KU»NICA	6
12902	KU»N›	59
33131	KU»O	14
48674	KU»VA	7
2985	KUDA	273
48675	KŸDA	7
7220	KUDÃJ	116
1602	KUDELA	470
4551	KUDÃLA	183
13077	K⁄DELA	58
11940	KŸDELA	65
37950	KUDEL¡S	11
57678	KUDEL¡SEK	5
19029	KUDÃL¡SEK	34
52707	KUDELJNJAK	6
13996	KUDELKA	53
2063	KUDÃLKA	378
57679	K⁄DELKA	5
31815	KUDEL“¡K	15
57680	KUDER	5
5446	KUDERA	154
48676	KUDERNA	7
48677	KUDERNATSCH	7
42462	KUDEÿÕK	9
57681	KUDI	5
22136	KUDIBAL	27
48678	KUDIELKA	7
25200	KUDÕK	22
22681	KUDÕLEK	26
52708	KUDINEK	6
30582	KUDIOVSK›	16
52709	KUDIVEIS	6
57682	KUDL	5
3368	KUDLA	245
4859	KUDL¡»	171
564	KUDL¡»EK	1126
48679	KUDLA»ÕK	7
17084	KUDL¡K	40
22682	KUDLATA	26
37951	KUDLEJ	11
19030	KUDLI»	34
2042	KUDLI»KA	381
52710	KUDLIK	6
5516	KUDLÕK	152
42463	KUœOUSEK	9
5367	KUDR	156
25201	KUDRA	22
30583	KUDRA»	16
9876	KUDR¡»	82
37952	KUDR¡K	11
57683	KUDR¡ä	5
57684	KUDREJ	5
20684	KUDRFALEC	30
22137	KUDRHALT	27
25202	KUDRI	22
14213	KUDRIK	52
23269	KUDRÕK	25
14649	KUDRLE	50
12560	KUDRLI»KA	61
48680	KUDRMAN	7
37953	KUDRMANN	11
430	KUDRNA	1444
3251	KUDRN¡»	254
48681	KUDRN¡»EK	7
16529	KUDRNKA	42
11387	KUDRNOVSK›	69
48682	KUDRO“	7
10098	KUDRY	80
45282	KUDRYS	8
40094	KUDWEIS	10
8921	KUDYN	92
18001	KUD›N	37
25203	KUDYNEK	22
42464	KUD›NEK	9
45283	KUDYVEJS	8
34558	KUDéA	13
48683	KUF	7
1874	KUFA	409
33132	KUF»¡K	14
19854	KUFEL	32
17677	KUFFA	38
42465	K€FFEL	9
33133	KUFFNER	14
33134	K‹FFNER	14
57685	K€FFNER	5
28491	K‹FHABER	18
42466	K€FHABER	9
40095	KUFKA	10
8922	KUFNER	92
27559	K‹FNER	19
42467	K€FNER	9
21132	KUFR	29
57686	KUFRER	5
19031	KUGEL	34
28492	KŸGEL	18
31816	KUGL	15
57687	KŸGL	5
2235	KUGLER	353
57688	KUGLÕK	5
37954	KUH	11
45284	KUHA	8
37955	KUHAJDA	11
45285	KUHAJDÕK	8
19855	KUHEJDA	32
48684	K‹HLER	7
2271	KUHN	349
7274	K‹HN	115
18002	K€HN	37
5110	K‹HNEL	163
13997	K€HNEL	53
48685	K‹HNER	7
40096	K‹HNERT	10
42468	K€HNERT	9
57689	KUHN-GABER	5
20685	K‹HNL	30
40097	K€HNL	10
40098	K€HPAST	10
16799	K‹HR	41
23873	K€HR	24
23270	K‹HTREIBER	25
24530	K€HTREIBER	23
52711	K‹HWEG	6
16011	KUCH	44
42469	K⁄CHA	9
20250	KUCHAR	31
7328	KUCH¡R	114
8760	KUCHARCZYK	94
10771	KUCHAR»ÕK	74
30584	KUCHAR»UK	16
37956	KUCH¡REK	11
17678	KUCHARI»	38
13078	KUCHARIK	58
21604	KUCHARÕK	28
34559	KUCH¡RIK	13
42470	KUCHAROVIC	9
27560	KUCHAROVI»	19
30585	KUCHARSKI	16
15748	KUCHARSK›	45
52712	KUCHARZ	6
52713	KUCHARZYK	6
205	KUCHAÿ	2583
45286	KUCHAÿI»	8
2058	KUCHAÿÕK	379
8609	KUCHEJDA	96
57690	KUCHERKO	5
40099	KUCHINKA	10
40100	KUCHLEI	10
19856	KUCHLER	32
45287	K‹CHLER	8
45288	K€CHLER	8
48686	KUCHNA	7
52714	KUCHNÕK	6
31817	KUCHNO	15
33135	KUCHOVSK›	14
22138	KUCHR›K	27
42471	KUCHä	9
931	KUCHTA	747
45289	KUCHç¡K	8
48687	KUCHTIAK	7
11292	KUCHTÕ»EK	70
13604	KUCHTÕK	55
25932	KUCHV¡LEK	21
8526	KUCHY“A	97
3403	KUCHYNKA	243
3032	KUCHY“KA	270
10203	KUJA	79
4800	KUJAL	173
57691	KUJALA	5
9495	KUJAN	86
23874	KUJAWA	24
57692	KUJEL	5
34560	KUJÕ»EK	13
19857	KUJÕNEK	32
24531	KUJOVSK›	23
20251	KUK	31
13808	KUKA	54
10999	KUKA»	72
2168	KUKA»KA	364
45290	KUKAJ	8
42472	KUK¡K	9
4960	KUKAL	168
26704	KUKAN	20
15091	KUKA“	48
10304	KUKELKA	78
14214	KUKENÃ	52
22683	KUKI	26
40101	KUKIELKA	10
45291	KUKKO	8
544	KUKLA	1158
20686	KUKLETA	30
2597	KUKLÕK	309
8684	KUKLÕNEK	95
14650	KUKLIä	50
57693	KUKLOVSK›	5
8160	KUKOL	102
31818	K⁄KOL	15
52715	K⁄KOLA	6
42473	KUKOLÕK	9
57694	KUKOSA	5
37957	KUKRAL	11
8846	KUKR¡L	93
25933	KUKRECHT	21
45292	KUKRLE	8
36177	KUKSA	12
45293	KUKUC	8
22139	KUKUCZ	27
7275	KUKUCZKA	115
26705	KUKU»	20
16800	KUKU»A	41
57695	KUKU»IAR	5
6201	KUKU»KA	136
45294	KUKUK	8
8087	KUKULA	103
42474	KUKULÕK	9
33136	KUKULIä	14
52716	KUKULKA	6
42475	KUKUMBERG	9
57696	KUKUNARAS	5
27561	KUKURA	19
57697	KUKURDÕK	5
52717	KUKURICA	6
52718	KUKURUC	6
57698	KUKUä	5
57699	KUKUäANOä	5
52719	KUKUTSCH	6
36178	KUKY	12
57700	KŸL	5
2113	KULA	370
52720	KUºA	6
6072	KŸLA	139
36179	KULA»	12
40102	KULAGA	10
18666	KULAJTA	35
48688	KULAK	7
40103	KUL¡K	10
57701	KULAKOVSK›	5
30586	KULANDA	16
57702	KULANG	5
57703	KULANOVI»	5
9784	KULAS	83
48689	KULAä	7
30587	KULAäA	16
48690	KULATKA	7
11535	KULAT›	68
36180	KULAVIAK	12
21133	KULAWIAK	29
52721	KULAXIDIS	6
42476	KULB	9
52722	KULBABL	6
33137	KULCS¡R	14
28493	KULCZYCKI	18
22684	KUL»¡K	26
27562	KUL»¡R	19
2704	KULDA	297
15534	KULDAN	46
40104	KULD¡N	10
48691	KULDANEK	7
42477	KULD¡SEK	9
10527	KULE	76
42478	KULEK	9
28494	KULENA	18
19858	KULENDA	32
25204	KULENDÕK	22
48692	KULESA	7
36181	KULF¡NEK	12
57704	KULFERST	5
36182	KULFIRST	12
18003	KULHA	37
37958	KUºHA	11
18342	KULHAJ	36
7329	KULHAN	114
42479	KULH¡N	9
52723	KULH¡“	6
28495	KULHANEK	18
257	KULH¡NEK	2176
740	KULHAV›	899
22685	KULHEIM	26
37959	KULCHOV	11
13998	KULI»	53
16801	KULÕ»EK	41
7130	KULI»KA	118
40105	KULIFAJ	10
48693	KULIFAY	7
10099	KULIG	80
11798	KULIHA	66
1142	KULICH	627
19032	KULIK	34
1916	KULÕK	401
57705	KULIKOWSKI	5
29552	KULIL	17
11388	KULINA	69
57706	KULINKOVSK›	5
45295	KULINSKI	8
52724	KULI—SKI	6
52725	KULÕNSK›	6
12715	KULÕÿ	60
20252	KULÕSEK	31
45296	KULISIN	8
57707	KULISZ	5
6250	KULIä	135
21134	KULIäAN	29
52726	KULIäEK	6
1376	KULÕäEK	534
5846	KULIäç¡K	144
40106	KULJA	10
36183	KULJOVSK›	12
5765	KULKA	146
42480	KUºKA	9
52727	KULKOVSK›	6
25205	KULKUS	22
11293	KULLA	70
22686	KULLE	26
27563	KULMA	19
21605	KULMAN	28
48694	KULMON	7
52728	KULOUäEK	6
5555	KULOVAN›	151
34561	KULPA	13
40107	KULäTEIN	10
13411	KULäTEJN	56
25206	KULäTRUNK	22
3107	KULT	264
34562	KULT¡N	13
57708	KULTSCHER	5
42481	KULVAIT	9
22687	KULVAJT	26
19440	KULVEIT	33
25207	KULVEJT	22
57709	K‹LWEIN	5
33138	KULYK	14
57710	KULYKOWEC	5
22688	KUMA	26
37960	KUMAI	11
21135	KUMAJ	29
45297	KUMALA	8
11143	KUMAN	71
57711	KUMARCIS	5
45298	KUMB¡LEK	8
15535	KUMB¡R	46
9984	KUMBERA	81
57712	KUMHAL	5
23875	KUMHALA	24
52729	KUMH¡LA	6
13412	KUMHERA	56
45299	KUMI»ÕK	8
15749	K‹MMEL	45
7511	KUMMER	111
57713	KUMOREK	5
13605	KUMPA	55
25208	KUMPAN	22
17679	KUMP¡N	38
14424	KUMPERA	51
57714	KUMPERT	5
34563	KUMPF	13
57715	KUMPFE	5
45300	KUMPOCH	8
48695	KUMPOLDT	7
36184	KUMPOLT	12
11144	KUMPOäT	71
10204	KUMPRECHT	79
42482	KUMPRICHT	9
14651	KUMR	50
36185	KUMST	12
10642	KUMSTA	75
10882	KUMST¡T	73
24532	KUMST›ÿ	23
9587	KUMäTA	85
30588	KUMäTAR	16
30589	KUMäT¡R	16
45301	KUMäT¡T	8
9588	KUMé¡K	85
48696	KUN	7
27564	K⁄N	19
1151	KUNA	622
17359	KŸNA	39
52730	KUNAGL	6
37961	KUN¡GL	11
21136	KUN¡K	29
11536	KU“¡K	68
34564	KUNAR	13
16245	KUNART	43
36186	KUN¡ä	12
5410	KUN¡äEK	155
48697	KUNAT	7
21606	KUN¡T	28
57716	KUNATH	5
249	KUNC	2227
19859	KUNCA	32
16012	KUNCE	44
26706	KUNCEK	20
33139	KUNCEND÷RFER	14
29553	KUNCIP¡L	17
